setID,number,name,year,theme,pieces,minifigs,availability,ageRange,dimensions,licensed,retailPrice,minAge,Package_Box,Package_Foil,Package_Other,Package_Polybag
29447,60257,Service Station,2020,City,354.0,4.0,Retail,{'min': 5},"{'height': 26.0, 'width': 38.0, 'depth': 6.8, 'weight': 0.703}",False,49.99,5,1,0,0,0
29448,60258,Tuning Workshop,2020,City,897.0,7.0,Retail,{'min': 6},"{'height': 37.3, 'width': 47.6, 'depth': 6.6, 'weight': 1.626}",False,99.99,6,1,0,0,0
29449,60260,Air Race,2020,City,140.0,3.0,Retail,{'min': 5},"{'height': 26.0, 'width': 28.2, 'depth': 7.3, 'weight': 0.506}",False,39.99,5,1,0,0,0
29450,60261,Central Airport,2020,City,286.0,6.0,Retail,{'min': 4},"{'height': 28.0, 'width': 27.8, 'depth': 5.8, 'weight': 0.822}",False,59.99,4,1,0,0,0
29451,60262,Passenger Airplane,2020,City,669.0,9.0,Retail,{'min': 6},"{'height': 37.4, 'width': 47.6, 'depth': 9.0, 'weight': 1.772}",False,99.99,6,1,0,0,0
29452,60263,Ocean Mini-Submarine,2020,City,41.0,1.0,Retail,{'min': 4},"{'height': 13.9, 'width': 5.5, 'depth': 6.0, 'weight': 0.128}",False,9.99,4,1,0,0,0
29453,60264,Ocean Exploration Submarine,2020,City,286.0,4.0,Retail,{'min': 5},"{'height': 26.0, 'width': 28.2, 'depth': 5.8, 'weight': 0.524}",False,39.99,5,1,0,0,0
30265,60265,Ocean Exploration Base,2020,City,497.0,5.0,Retail,{'min': 6},"{'height': 27.8, 'width': 53.8, 'depth': 7.4, 'weight': 1.1}",False,79.99,6,1,0,0,0
29455,60266,Ocean Exploration Ship,2020,City,745.0,8.0,Retail,{'min': 7},"{'height': 37.4, 'width': 57.7, 'depth': 11.3, 'weight': 2.282}",False,149.99,7,1,0,0,0
29456,60267,Safari Off-Roader,2020,City,168.0,2.0,Retail,{'min': 5},"{'height': 18.8, 'width': 26.0, 'depth': 6.0, 'weight': 0.343}",False,19.99,5,1,0,0,0
29944,60268,City Advent Calendar,2020,City,342.0,6.0,Retail,{'min': 5},"{'height': 26.0, 'width': 37.8, 'depth': 6.7, 'weight': 0.422}",False,29.99,5,1,0,0,0
29457,60270,Police Brick Box,2020,City,301.0,4.0,Retail,{'min': 5},"{'height': 18.0, 'width': 36.0, 'depth': 18.0, 'weight': 1.004}",False,39.99,5,0,0,1,0
30314,60271,Main Square,2020,City,1517.0,15.0,LEGO exclusive,{'min': 6},"{'height': 37.3, 'width': 57.9, 'depth': 11.4, 'weight': 3.058}",False,199.99,6,1,0,0,0
30607,60272,Elite Police Boat Transport,2020,City,166.0,2.0,Retail,{'min': 5},"{'height': 19.0, 'width': 26.0, 'depth': 6.0, 'weight': 0.38}",False,29.99,5,1,0,0,0
29458,60273,Elite Police Driller Chase,2020,City,179.0,2.0,Retail,{'min': 5},"{'height': 19.0, 'width': 26.0, 'depth': 6.0, 'weight': 0.371}",False,29.99,5,1,0,0,0
29459,60274,Elite Police Lighthouse Capture,2020,City,189.0,2.0,Retail,{'min': 5},"{'height': 19.0, 'width': 26.0, 'depth': 6.0, 'weight': 0.381}",False,29.99,5,1,0,0,0
30820,60275,Police Helicopter,2021,City,51.0,2.0,Retail,{'min': 4},"{'height': 14.1, 'width': 15.7, 'depth': 6.1, 'weight': 0.127}",False,9.99,4,1,0,0,0
30821,60276,Police Prisoner Transport,2021,City,244.0,4.0,Retail,{'min': 5},"{'height': 19.1, 'width': 26.2, 'depth': 7.2, 'weight': 0.441}",False,29.99,5,1,0,0,0
31035,60277,Police Patrol Boat,2021,City,276.0,5.0,Retail,{'min': 5},"{'height': 28.2, 'width': 48.0, 'depth': 6.1, 'weight': 0.796}",False,59.99,5,1,0,0,0
30822,60279,Fire Hazard Truck,2021,City,87.0,1.0,Retail,{'min': 5},"{'height': 14.1, 'width': 15.7, 'depth': 4.5, 'weight': 0.131}",False,9.99,5,1,0,0,0
30823,60280,Fire Ladder Truck,2021,City,88.0,2.0,Retail,{'min': 4},"{'height': 19.1, 'width': 26.2, 'depth': 6.1, 'weight': 0.311}",False,29.99,4,1,0,0,0
